iter	Logloss
0	0.6910220093
1	0.689549884
2	0.6881235525
3	0.6863141844
4	0.6847045564
5	0.6831669792
6	0.6818467743
7	0.6803602249
8	0.6789866331
9	0.6776440017
10	0.6764888542
11	0.6754015501
12	0.6746808105
13	0.6734878851
14	0.6723439298
15	0.6711024696
16	0.6701393775
17	0.669310974
18	0.6682427552
19	0.6673428698
20	0.6663806231
21	0.6656534774
22	0.6647566005
23	0.6639234516
24	0.6630438738
25	0.6623680359
26	0.6615302783
27	0.6606742003
28	0.6597824191
29	0.6590709969
30	0.6582007225
31	0.6576112403
32	0.6568106509
33	0.6559658028
34	0.6552521782
35	0.6546106018
36	0.6540322742
37	0.6534512392
38	0.6525970552
39	0.652061748
40	0.6514138473
41	0.65092725
42	0.6503205062
43	0.6494596092
44	0.6489807813
45	0.648215833
46	0.6475869114
47	0.646941688
48	0.6462849677
49	0.6457249071
50	0.6448487124
51	0.6440745628
52	0.6434661203
53	0.6430365922
54	0.6425951383
55	0.6418899462
56	0.6414589938
57	0.6408817773
58	0.6403286961
59	0.6396266444
60	0.6388963748
61	0.6384990425
62	0.6376856093
63	0.6369304145
64	0.6364232108
65	0.6357873571
66	0.6348881773
67	0.6341010707
68	0.6332940858
69	0.6329325989
70	0.6323250066
71	0.6319927483
72	0.6313949502
73	0.6307419198
74	0.6303041443
75	0.6300311138
76	0.6294534572
77	0.6289379872
78	0.6285948008
79	0.6279092832
80	0.6275726605
81	0.6268462284
82	0.6264679433
83	0.6259642613
84	0.6254103326
85	0.6248366044
86	0.6241528139
87	0.6234748348
88	0.6227957185
89	0.6222031937
90	0.6217162107
91	0.6213495726
92	0.6207757791
93	0.6202458962
94	0.6198100417
95	0.6191757222
96	0.618700471
97	0.6183527321
98	0.6179471836
99	0.6174096544
100	0.617143134
101	0.6166963658
102	0.6162766666
103	0.6157712843
104	0.6153305394
105	0.6148325727
106	0.6143967034
107	0.6138250941
108	0.6132559768
109	0.612733964
110	0.6120619615
111	0.6115945374
112	0.6113442044
113	0.6107490258
114	0.6104671685
115	0.6099664796
116	0.6095543932
117	0.6092173666
118	0.6086443694
119	0.6080566317
120	0.6074256475
121	0.6069991648
122	0.6067308305
123	0.6061962716
124	0.6056569804
125	0.6050483426
126	0.6044646472
127	0.6037829409
128	0.6033084805
129	0.6027536876
130	0.602390459
131	0.602066908
132	0.6015614884
