iter	Passed	Remaining
0	10	5182
1	19	4741
2	27	4635
3	37	4592
4	46	4593
5	55	4577
6	65	4585
7	74	4579
8	83	4538
9	92	4510
10	101	4498
11	110	4473
12	118	4453
13	128	4476
14	138	4467
15	148	4482
16	157	4479
17	168	4511
18	177	4504
19	187	4488
20	198	4516
21	207	4499
22	216	4490
23	225	4473
24	235	4465
25	244	4449
26	253	4435
27	261	4410
28	270	4397
29	279	4380
30	288	4364
31	297	4347
32	306	4330
33	315	4327
34	325	4321
35	336	4336
36	345	4319
37	354	4305
38	362	4286
39	371	4272
40	380	4265
41	389	4248
42	398	4233
43	407	4223
44	415	4204
45	424	4186
46	433	4177
47	442	4167
48	451	4158
49	460	4143
50	469	4129
51	477	4113
52	486	4100
53	494	4085
54	503	4074
55	512	4062
56	521	4049
57	530	4039
58	539	4030
59	548	4021
60	557	4010
61	566	3999
62	575	3991
63	584	3983
64	593	3973
65	602	3960
66	610	3947
67	619	3935
68	628	3927
69	637	3915
70	646	3905
71	655	3895
72	665	3892
73	674	3885
74	683	3873
75	691	3858
76	700	3848
77	709	3836
78	717	3824
79	726	3812
80	735	3803
81	744	3795
82	753	3784
83	761	3771
84	770	3761
85	779	3752
86	788	3740
87	796	3730
88	805	3721
89	814	3711
90	824	3704
91	833	3696
92	842	3685
93	850	3673
94	859	3663
95	867	3652
96	877	3644
97	885	3632
98	894	3624
99	903	3614
100	912	3605
101	921	3595
102	930	3584
103	938	3573
104	947	3564
105	956	3555
106	965	3545
107	973	3534
108	982	3525
109	991	3513
110	999	3503
111	1008	3494
112	1017	3484
113	1026	3475
114	1035	3465
115	1043	3455
116	1052	3445
117	1060	3434
118	1069	3425
119	1078	3415
120	1087	3404
121	1095	3395
122	1104	3385
123	1113	3377
124	1123	3370
125	1132	3360
126	1141	3352
127	1150	3344
128	1159	3335
129	1168	3325
130	1177	3316
131	1186	3306
132	1195	3298
