player_name,team_name,position,defensive_runs_saved,framing_runs_saved,pitches_framed,stolen_base_runs,pickoff_runs,throwing_runs,blocking_runs,infield_gb_runs,bunt_runs,double_play_runs_start,double_play_runs_pivot,infield_fb_runs,outfield_fb_runs,outfield_arm_runs
Ryder Helfrick,Arkansas,C,27,24.49,1304,-0.55,0.96,0.41,3.34,-0.42,-0.8,0,-0.01,0,0,0
Austin Fawley,Ole Miss,C,22.02,15.37,1076,0.26,0.27,0.53,6.7,-0.13,-0.42,0,-0.04,0,0,0
Grayson Ashe,Jacksonville State,C,19.67,11.28,1185,-0.9,0.45,-0.45,9.01,0.15,-0.32,0,-0.01,0.01,0,0
Ian Armstrong,Saint Mary's (CA),C,18.1,10.65,977,-0.56,0.31,-0.25,8,0.09,-0.37,0,-0.01,0,0,0
Burke-Lee Mabeus,Oregon,C,17.52,11.97,1156,0.73,0.7,1.43,4.2,-0.36,0.28,0,0,0,0,0
Trevian Martinez,UC San Diego,C,16.15,8.6,898,-0.15,0,-0.15,7.58,0,0.13,0,-0.02,0.01,0,0
Jonathan Fitz,Xavier,C,15.4,2.89,1036,1.12,1.39,2.51,9.43,-0.03,0.62,-0.01,0,0,0,0
Deiten Lachance,Oklahoma,C,15.15,10.41,763,0.02,1.13,1.15,3.85,0,-0.26,0,0,0,0,0
Ryan Tayman,Cal Poly,C,15.05,9.44,1431,-0.33,2,1.67,4.52,-0.05,-0.53,0,-0.01,0,0,0
Beau Sylvester,Arizona,C,6.32,2.54,752,-0.36,0.56,0.2,3.71,0,-0.12,0,-0.02,0,0,0
Augusto Mungarrieta,Kansas,C,14.03,3.13,1248,-0.61,0.46,-0.15,10.89,0,0.18,0,-0.01,0,0,0
Mateo Serna,Missouri,C,13.96,9.45,1010,-0.75,0,-0.75,4.83,0.16,0.27,0,0,0,0,0
Jayden Lobliner,San Diego,C,13.9,1.4,1088,0.09,0.47,0.56,12.21,0.03,-0.31,0,-0.01,0.01,0,0
Rudy Gonzalez,UTRGV,C,13.66,8,616,0.02,0.14,0.16,5.04,0.05,0.33,0,0.09,0,0,0
Owen Walewander,Lehigh,C,13.57,3.63,722,0.05,7.35,7.4,2.51,0.07,0,0,-0.04,0,0,0
Nate Vargas,UC Santa Barbara,C,13.28,8.67,935,0.19,0,0.19,3.45,0.08,0.91,0,-0.02,0,0,0
Joe Forbes,Arizona,C,-1.47,-1.14,89,-0.2,0,-0.2,-0.13,0,0,0,0,0,0,0
Daniel Jackson,Georgia,C,13,4.27,1230,0.4,0,0.4,6.81,0.18,1.34,0,0,0,0,0
James McGee,Kennesaw State,C,12.96,5.88,749,0.55,-0.8,-0.25,7.52,-0.29,0,-0.02,0.11,0.01,0,0
Jimmy Janicki,Troy,C,12.57,7.08,1224,-0.05,1.45,1.4,4.04,0.19,-0.25,0,0.09,0.02,0,0
Connor Walker,McNeese,C,12.57,4.17,646,0.86,3.12,3.98,3.97,0.13,0.31,0,0,0.01,0,0
Andrew DiLodovico,Bowling Green,C,12.38,7.92,704,-0.76,0,-0.76,4.31,0.18,0.73,0,0,0,0,0
Matt Chavez,California Baptist,C,12.34,3.79,814,0.39,-0.4,-0.01,8.57,0.03,-0.01,0,-0.02,0,0,0
Parker Goff,BYU,C,12.28,5.48,553,0.58,0.31,0.89,5.8,0.13,0,0,-0.01,0,0,0
Tucker Stockman,Southern Miss,C,12.18,5.15,945,0.52,0.72,1.24,5.95,0.2,-0.47,0,0.1,0,0,0
Noah Miller,Michigan,C,12.17,6.58,939,0.46,-0.31,0.15,5.05,0.13,0.26,0,-0.01,0,0,0
Brice Estep,Coastal Carolina,C,12.12,6.99,824,0.8,-0.26,0.54,4.71,0,-0.11,0,0,0,0,0
Jackson Golden,Marshall,C,12.02,8.38,940,-0.61,0,-0.61,4,0.2,0.08,0,-0.04,0,0,0
Nolan Zajac,Western Michigan,C,11.79,5.89,1057,-1.06,-0.68,-1.74,7.66,-0.27,0.27,0,-0.02,0,0,0
Carter Bergman,Missouri State,C,11.68,6.82,888,0.2,1.19,1.39,3.68,-0.12,-0.05,0,-0.04,0,0,0
Chase Fralick,Auburn,C,11.39,6.81,1109,0.23,-0.17,0.06,3.6,0.51,0.41,-0.01,0,0,0,0
David Whittle,UC Riverside,C,11.28,4.84,581,0.27,2.64,2.91,4.73,-0.29,-0.89,0,-0.01,0,0,0
Zane Denton,Central Arkansas,C,10.85,2.49,733,0.59,0.68,1.27,6.95,-0.23,0.37,0,-0.01,0,0,0
Jacob Galloway,Oregon State,C,10.83,0.7,1198,0.58,0.94,1.52,8.29,0.02,0.28,0,0,0.01,0,0
Cole Hansen,California Baptist,C,10.57,5.45,381,0.79,-0.26,0.53,4.42,0,0.19,0,-0.02,0,0,0
Noah Quarless,Western Carolina,C,10.17,5.24,844,0.6,0,0.6,2.91,0.19,1.13,0,0.1,0,0,0
Vahn Lackey,Georgia Tech,C,10.01,3.17,955,-0.24,1.81,1.57,4.95,0.11,0.23,0,-0.02,0,0,0
Duncan Mathews,South Alabama,C,10,4.07,1156,0.11,0.31,0.42,5.73,0,-0.19,-0.04,0,0.01,0,0
Thomas Zwirecki,Canisius,C,9.97,5.99,589,0.59,0.81,1.4,2.59,0,0,0,-0.01,0,0,0
Clayton Namken,Texas State,C,9.94,2.4,1103,-0.06,0.67,0.61,5.57,0.12,1.24,0,0,0,0,0
Zach Justice,San Diego State,C,9.76,9.51,912,-0.28,0,-0.28,1,0.29,0,0,0,-0.76,0,0
