season,metric,role,age_band,band_rank,mu,sigma,n_relievers
2016,bb_pct,closer_tier,lt_26,0,0.08989,0.03144,1
2016,bb_pct,closer_tier,26_30,1,0.09722,0.03484,16
2016,bb_pct,closer_tier,31_34,2,0.08188,0.02463,14
2016,bb_pct,closer_tier,gte_35,3,0.08989,0.03144,4
2016,bb_pct,high_leverage,lt_26,0,0.09089,0.02998,2
2016,bb_pct,high_leverage,26_30,1,0.09117,0.03326,48
2016,bb_pct,high_leverage,31_34,2,0.09755,0.02352,23
2016,bb_pct,high_leverage,gte_35,3,0.07508,0.02247,10
2016,bb_pct,low_leverage,lt_26,0,0.09609,0.03707,7
2016,bb_pct,low_leverage,26_30,1,0.09762,0.03301,52
2016,bb_pct,low_leverage,31_34,2,0.09207,0.04902,25
2016,bb_pct,low_leverage,gte_35,3,0.09609,0.03707,5
2016,bb_pct,no_prior_season,lt_26,0,0.09957,0.03769,67
2016,bb_pct,no_prior_season,26_30,1,0.09572,0.04357,126
2016,bb_pct,no_prior_season,31_34,2,0.09691,0.05442,29
2016,bb_pct,no_prior_season,gte_35,3,0.09709,0.04294,9
2016,k_pct,closer_tier,lt_26,0,0.27131,0.07215,1
2016,k_pct,closer_tier,26_30,1,0.28172,0.07433,16
2016,k_pct,closer_tier,31_34,2,0.25077,0.07783,14
2016,k_pct,closer_tier,gte_35,3,0.27131,0.07215,4
2016,k_pct,high_leverage,lt_26,0,0.22811,0.06411,2
2016,k_pct,high_leverage,26_30,1,0.2401,0.07089,48
2016,k_pct,high_leverage,31_34,2,0.22079,0.04198,23
2016,k_pct,high_leverage,gte_35,3,0.17736,0.04965,10
2016,k_pct,low_leverage,lt_26,0,0.207,0.06111,7
2016,k_pct,low_leverage,26_30,1,0.20525,0.06048,52
2016,k_pct,low_leverage,31_34,2,0.19843,0.06248,25
2016,k_pct,low_leverage,gte_35,3,0.207,0.06111,5
2016,k_pct,no_prior_season,lt_26,0,0.20043,0.06695,67
2016,k_pct,no_prior_season,26_30,1,0.2075,0.06814,126
2016,k_pct,no_prior_season,31_34,2,0.20195,0.05863,29
2016,k_pct,no_prior_season,gte_35,3,0.20371,0.06691,9
2016,xwoba_against,closer_tier,lt_26,0,0.29329,0.04339,1
2016,xwoba_against,closer_tier,26_30,1,0.29277,0.04252,16
2016,xwoba_against,closer_tier,31_34,2,0.29743,0.05161,14
2016,xwoba_against,closer_tier,gte_35,3,0.29329,0.04339,4
2016,xwoba_against,high_leverage,lt_26,0,0.30086,0.04441,2
2016,xwoba_against,high_leverage,26_30,1,0.29664,0.04981,48
2016,xwoba_against,high_leverage,31_34,2,0.30736,0.03738,23
2016,xwoba_against,high_leverage,gte_35,3,0.3049,0.03203,10
2016,xwoba_against,low_leverage,lt_26,0,0.31853,0.04653,7
2016,xwoba_against,low_leverage,26_30,1,0.31725,0.04644,52
2016,xwoba_against,low_leverage,31_34,2,0.32591,0.05351,25
2016,xwoba_against,low_leverage,gte_35,3,0.31853,0.04653,5
2016,xwoba_against,no_prior_season,lt_26,0,0.32345,0.05513,67
2016,xwoba_against,no_prior_season,26_30,1,0.31071,0.0472,126
2016,xwoba_against,no_prior_season,31_34,2,0.30596,0.04646,29
2016,xwoba_against,no_prior_season,gte_35,3,0.31561,0.05037,9
2017,bb_pct,closer_tier,lt_26,0,0.08438,0.03247,1
2017,bb_pct,closer_tier,26_30,1,0.09009,0.03249,18
2017,bb_pct,closer_tier,31_34,2,0.08406,0.03263,13
2017,bb_pct,closer_tier,gte_35,3,0.08438,0.03247,7
2017,bb_pct,high_leverage,lt_26,0,0.08237,0.03273,4
2017,bb_pct,high_leverage,26_30,1,0.09106,0.03722,29
2017,bb_pct,high_leverage,31_34,2,0.07456,0.02897,28
