season,metric,role,batter_hand,alpha,beta,mu,sigma
2015,bb_pct,bottom,L,7.9668,93.0919,,
2015,bb_pct,bottom,R,5.014,71.0838,,
2015,bb_pct,bottom,S,5.6419,74.7231,,
2015,bb_pct,middle,L,8.1115,87.2518,,
2015,bb_pct,middle,R,6.0119,78.4955,,
2015,bb_pct,middle,S,6.6016,78.4448,,
2015,bb_pct,top,L,5.8775,62.4264,,
2015,bb_pct,top,R,6.7258,73.8417,,
2015,bb_pct,top,S,6.3422,68.5965,,
2015,iso,bottom,L,,,0.121,0.0583
2015,iso,bottom,R,,,0.122,0.0529
2015,iso,bottom,S,,,0.1217,0.0546
2015,iso,middle,L,,,0.1744,0.053
2015,iso,middle,R,,,0.1703,0.0555
2015,iso,middle,S,,,0.1722,0.0542
2015,iso,top,L,,,0.1468,0.0498
2015,iso,top,R,,,0.1704,0.0598
2015,iso,top,S,,,0.1598,0.0566
2015,k_pct,bottom,L,10.4953,39.5176,,
2015,k_pct,bottom,R,10.0285,34.9444,,
2015,k_pct,bottom,S,10.1161,36.1581,,
2015,k_pct,middle,L,7.8282,28.8886,,
2015,k_pct,middle,R,9.9734,36.791,,
2015,k_pct,middle,S,8.9118,32.8808,,
2015,k_pct,top,L,8.5633,40.6649,,
2015,k_pct,top,R,11.9302,50.427,,
2015,k_pct,top,S,10.0582,44.7463,,
2015,woba,bottom,L,57.4107,128.3288,,
2015,woba,bottom,R,40.4786,94.3336,,
2015,woba,bottom,S,44.7431,102.8248,,
2015,woba,middle,L,57.2147,109.2565,,
2015,woba,middle,R,62.1157,121.5681,,
2015,woba,middle,S,59.7611,115.6253,,
2015,woba,top,L,60.5032,111.5973,,
2015,woba,top,R,66.0299,117.4544,,
2015,woba,top,S,63.0981,114.0742,,
2016,bb_pct,bottom,L,5.7573,62.4162,,
2016,bb_pct,bottom,R,6.6726,85.8323,,
2016,bb_pct,bottom,S,5.9868,71.9565,,
2016,bb_pct,middle,L,7.7451,78.7077,,
2016,bb_pct,middle,R,7.3716,86.1857,,
2016,bb_pct,middle,S,7.3252,80.4201,,
2016,bb_pct,top,L,9.1647,91.6157,,
2016,bb_pct,top,R,6.0758,65.1801,,
2016,bb_pct,top,S,7.3093,75.7928,,
2016,iso,bottom,L,,,0.126,0.0465
2016,iso,bottom,R,,,0.1322,0.0538
2016,iso,bottom,S,,,0.1298,0.0511
2016,iso,middle,L,,,0.1878,0.0463
2016,iso,middle,R,,,0.1813,0.0496
2016,iso,middle,S,,,0.1841,0.0482
2016,iso,top,L,,,0.1527,0.0556
2016,iso,top,R,,,0.1725,0.0636
2016,iso,top,S,,,0.1632,0.0606
2016,k_pct,bottom,L,8.0551,28.3934,,
2016,k_pct,bottom,R,9.506,33.5255,,
2016,k_pct,bottom,S,8.9594,31.5914,,
2016,k_pct,middle,L,10.1834,35.9915,,
2016,k_pct,middle,R,9.5997,33.2165,,
2016,k_pct,middle,S,9.9016,34.5773,,
2016,k_pct,top,L,13.6367,63.0682,,
2016,k_pct,top,R,9.4959,39.452,,
2016,k_pct,top,S,10.7364,46.8899,,
2016,woba,bottom,L,48.9766,107.5316,,
2016,woba,bottom,R,57.1912,125.6118,,
2016,woba,bottom,S,54.1276,118.8669,,
2016,woba,middle,L,73.5965,140.0904,,
2016,woba,middle,R,63.1399,120.2697,,
2016,woba,middle,S,67.7609,129.0331,,
2016,woba,top,L,66.992,123.6393,,
2016,woba,top,R,46.5362,83.2438,,
2016,woba,top,S,54.2125,98.4192,,
2017,bb_pct,bottom,L,9.8898,106.4613,,
2017,bb_pct,bottom,R,4.9334,69.432,,
2017,bb_pct,bottom,S,5.7385,73.2636,,
2017,bb_pct,middle,L,8.0507,89.0326,,
2017,bb_pct,middle,R,5.5318,62.4968,,
2017,bb_pct,middle,S,6.4012,71.6905,,
2017,bb_pct,top,L,8.016,76.2066,,
2017,bb_pct,top,R,6.2151,67.5251,,
2017,bb_pct,top,S,6.8923,70.1166,,
2017,iso,bottom,L,,,0.1262,0.0492
2017,iso,bottom,R,,,0.1417,0.0538
2017,iso,bottom,S,,,0.1365,0.0526
2017,iso,middle,L,,,0.2021,0.0559
2017,iso,middle,R,,,0.1868,0.053
2017,iso,middle,S,,,0.193,0.0545
2017,iso,top,L,,,0.173,0.0569
2017,iso,top,R,,,0.1872,0.0599
2017,iso,top,S,,,0.1804,0.0587
2017,k_pct,bottom,L,9.4752,33.5397,,
2017,k_pct,bottom,R,8.6228,27.3735,,
2017,k_pct,bottom,S,8.7519,28.8027,,
2017,k_pct,middle,L,11.6476,40.3635,,
2017,k_pct,middle,R,8.8396,31.2666,,
2017,k_pct,middle,S,9.8842,34.671,,
2017,k_pct,top,L,8.992,37.1383,,
2017,k_pct,top,R,10.9764,44.0393,,
2017,k_pct,top,S,10.0036,40.6946,,
2017,woba,bottom,L,67.6157,150.9304,,
2017,woba,bottom,R,48.266,106.8266,,
2017,woba,bottom,S,53.6703,119.1286,,
2017,woba,middle,L,48.116,91.7034,,
2017,woba,middle,R,51.0948,97.191,,
2017,woba,middle,S,50.2294,95.6205,,
2017,woba,top,L,81.9857,147.8839,,
2017,woba,top,R,54.2155,96.7344,,
2017,woba,top,S,65.0359,116.6466,,
2018,bb_pct,bottom,L,6.8654,75.7464,,
2018,bb_pct,bottom,R,5.1969,70.7831,,
2018,bb_pct,bottom,S,5.4814,69.1929,,
2018,bb_pct,middle,L,7.0047,72.5942,,
2018,bb_pct,middle,R,6.9487,80.3854,,
2018,bb_pct,middle,S,6.8778,76.0721,,
2018,bb_pct,top,L,6.8934,66.012,,
2018,bb_pct,top,R,6.9932,76.9501,,
2018,bb_pct,top,S,6.7547,69.2356,,
2018,iso,bottom,L,,,0.1235,0.0458
2018,iso,bottom,R,,,0.1354,0.0587
2018,iso,bottom,S,,,0.1313,0.0548
2018,iso,middle,L,,,0.1644,0.0543
2018,iso,middle,R,,,0.1703,0.051
2018,iso,middle,S,,,0.168,0.0522
2018,iso,top,L,,,0.1706,0.0612
2018,iso,top,R,,,0.1807,0.0563
2018,iso,top,S,,,0.1757,0.0588
2018,k_pct,bottom,L,7.127,22.0199,,
2018,k_pct,bottom,R,10.4574,32.5828,,
2018,k_pct,bottom,S,9.0966,28.2616,,
2018,k_pct,middle,L,9.8575,33.4449,,
2018,k_pct,middle,R,10.7443,37.2189,,
2018,k_pct,middle,S,10.4368,35.8557,,
2018,k_pct,top,L,10.6493,43.1107,,
2018,k_pct,top,R,8.663,33.9747,,
2018,k_pct,top,S,9.5805,38.1662,,
2018,woba,bottom,L,56.825,132.3945,,
2018,woba,bottom,R,35.8765,82.8775,,
2018,woba,bottom,S,41.2376,95.5388,,
2018,woba,middle,L,50.4601,102.6647,,
2018,woba,middle,R,65.3782,130.2547,,
2018,woba,middle,S,58.7879,118.1028,,
2018,woba,top,L,55.1226,102.176,,
2018,woba,top,R,66.5212,122.0813,,
2018,woba,top,S,60.7557,112.053,,
2019,bb_pct,bottom,L,8.7648,95.4894,,
2019,bb_pct,bottom,R,7.7525,99.8368,,
2019,bb_pct,bottom,S,7.7623,94.1265,,
2019,bb_pct,middle,L,5.8013,61.2528,,
2019,bb_pct,middle,R,6.2646,75.4517,,
2019,bb_pct,middle,S,5.9169,67.3149,,
2019,bb_pct,top,L,6.7449,67.148,,
2019,bb_pct,top,R,6.4594,68.5588,,
2019,bb_pct,top,S,6.5982,67.9317,,
2019,iso,bottom,L,,,0.1547,0.0616
2019,iso,bottom,R,,,0.1421,0.049
2019,iso,bottom,S,,,0.1464,0.0538
2019,iso,middle,L,,,0.1883,0.0648
2019,iso,middle,R,,,0.2037,0.0553
2019,iso,middle,S,,,0.1972,0.0597
2019,iso,top,L,,,0.1878,0.0594
2019,iso,top,R,,,0.206,0.0652
2019,iso,top,S,,,0.1974,0.063
2019,k_pct,bottom,L,9.7196,29.7251,,
2019,k_pct,bottom,R,12.261,37.0651,,
2019,k_pct,bottom,S,11.3354,34.4036,,
2019,k_pct,middle,L,10.2374,33.5746,,
2019,k_pct,middle,R,8.886,29.6097,,
2019,k_pct,middle,S,9.4771,31.3687,,
2019,k_pct,top,L,11.7962,44.102,,
2019,k_pct,top,R,9.9498,37.6716,,
2019,k_pct,top,S,10.8191,40.7206,,
2019,woba,bottom,L,64.6264,136.9599,,
2019,woba,bottom,R,33.9543,76.8281,,
2019,woba,bottom,S,40.0397,88.5659,,
2019,woba,middle,L,37.3197,73.5144,,
2019,woba,middle,R,73.0291,136.3896,,
2019,woba,middle,S,51.7415,98.8076,,
2019,woba,top,L,62.2493,113.4867,,
2019,woba,top,R,53.6786,91.2257,,
2019,woba,top,S,55.1224,96.7992,,
2020,bb_pct,bottom,L,6.6969,69.4941,,
2020,bb_pct,bottom,R,4.5597,53.0109,,
2020,bb_pct,bottom,S,5.2907,58.6713,,
2020,bb_pct,middle,L,6.9484,59.8972,,
2020,bb_pct,middle,R,7.1432,74.2744,,
2020,bb_pct,middle,S,6.6744,62.7308,,
2020,bb_pct,top,L,5.0295,43.5682,,
2020,bb_pct,top,R,4.4694,45.2925,,
2020,bb_pct,top,S,4.6456,43.6541,,
2020,iso,bottom,L,,,0.1344,0.0572
2020,iso,bottom,R,,,0.1508,0.0703
2020,iso,bottom,S,,,0.1442,0.0655
2020,iso,middle,L,,,0.1829,0.0582
