season,metric,age_band,band_rank,mu,sigma,n_starters
2016,bb_pct,u25,0,0.0786,0.0222,209
2016,k_pct,u25,0,0.1966,0.046,209
2016,xwoba_against,u25,0,0.3246,0.0316,209
2017,bb_pct,u25,0,0.0817,0.0239,64
2017,bb_pct,a25,1,0.0775,0.0207,149
2017,k_pct,u25,0,0.1829,0.0427,64
2017,k_pct,a25,1,0.2092,0.0486,149
2017,xwoba_against,u25,0,0.3357,0.0305,64
2017,xwoba_against,a25,1,0.3253,0.0309,149
2018,bb_pct,u25,0,0.0828,0.0256,39
2018,bb_pct,a25,1,0.0782,0.0242,148
2018,k_pct,u25,0,0.21,0.0519,39
2018,k_pct,a25,1,0.2155,0.0505,148
2018,xwoba_against,u25,0,0.3231,0.0369,39
2018,xwoba_against,a25,1,0.3195,0.0322,148
2019,bb_pct,u25,0,0.0767,0.0215,54
2019,bb_pct,a25,1,0.0757,0.0207,148
2019,k_pct,u25,0,0.1993,0.043,54
2019,k_pct,a25,1,0.2268,0.0573,148
2019,xwoba_against,u25,0,0.3335,0.0308,54
2019,xwoba_against,a25,1,0.3238,0.0374,148
2020,bb_pct,u25,0,0.09,0.0323,16
2020,bb_pct,a25,1,0.076,0.0235,60
2020,bb_pct,a30,2,0.0734,0.028,40
2020,k_pct,u25,0,0.2174,0.0578,16
2020,k_pct,a25,1,0.2277,0.0569,60
2020,k_pct,a30,2,0.2449,0.0666,40
2020,xwoba_against,u25,0,0.3217,0.0439,16
2020,xwoba_against,a25,1,0.3168,0.0369,60
2020,xwoba_against,a30,2,0.3169,0.0406,40
2021,bb_pct,u25,0,0.0818,0.0198,59
2021,bb_pct,a25,1,0.0788,0.0244,78
2021,bb_pct,a30,2,0.0717,0.0205,71
2021,k_pct,u25,0,0.2047,0.0453,59
2021,k_pct,a25,1,0.2215,0.053,78
2021,k_pct,a30,2,0.2336,0.0584,71
2021,xwoba_against,u25,0,0.3367,0.0335,59
2021,xwoba_against,a25,1,0.3235,0.0343,78
2021,xwoba_against,a30,2,0.3142,0.035,71
2022,bb_pct,u25,0,0.0861,0.0231,51
2022,bb_pct,a25,1,0.0747,0.0213,81
2022,bb_pct,a30,2,0.0674,0.0214,75
2022,k_pct,u25,0,0.1969,0.0498,51
2022,k_pct,a25,1,0.2136,0.0452,81
2022,k_pct,a30,2,0.2188,0.0575,75
2022,xwoba_against,u25,0,0.33,0.0284,51
2022,xwoba_against,a25,1,0.3132,0.0318,81
2022,xwoba_against,a30,2,0.3119,0.03,75
2023,bb_pct,u25,0,0.0865,0.0245,48
2023,bb_pct,a25,1,0.0819,0.0249,75
2023,bb_pct,a30,2,0.0742,0.0237,88
2023,k_pct,u25,0,0.2133,0.0513,48
2023,k_pct,a25,1,0.2166,0.0501,75
2023,k_pct,a30,2,0.2169,0.0469,88
2023,xwoba_against,u25,0,0.3386,0.036,48
2023,xwoba_against,a25,1,0.3281,0.0318,75
2023,xwoba_against,a30,2,0.3246,0.0307,88
2024,bb_pct,u25,0,0.0815,0.0311,51
2024,bb_pct,a25,1,0.0768,0.0256,81
2024,bb_pct,a30,2,0.0773,0.0192,60
2024,bb_pct,a33,3,0.0688,0.0161,16
2024,k_pct,u25,0,0.2152,0.0518,51
2024,k_pct,a25,1,0.2171,0.041,81
2024,k_pct,a30,2,0.2128,0.0478,60
2024,k_pct,a33,3,0.222,0.048,16
2024,xwoba_against,u25,0,0.3238,0.0314,51
2024,xwoba_against,a25,1,0.3178,0.0318,81
2024,xwoba_against,a30,2,0.3207,0.0294,60
2024,xwoba_against,a33,3,0.3178,0.0282,16
2025,bb_pct,u25,0,0.0822,0.0252,42
2025,bb_pct,a25,1,0.0796,0.0219,83
2025,bb_pct,a30,2,0.0766,0.021,57
2025,bb_pct,a33,3,0.0698,0.0181,28
2025,k_pct,u25,0,0.2101,0.0438,42
2025,k_pct,a25,1,0.2207,0.0458,83
2025,k_pct,a30,2,0.2208,0.0534,57
2025,k_pct,a33,3,0.2113,0.0456,28
2025,xwoba_against,u25,0,0.3367,0.0294,42
2025,xwoba_against,a25,1,0.3277,0.0327,83
2025,xwoba_against,a30,2,0.3269,0.0348,57
2025,xwoba_against,a33,3,0.3271,0.0287,28
2026,bb_pct,u25,0,0.0816,0.0241,14
2026,bb_pct,a25,1,0.0824,0.0217,60
2026,bb_pct,a30,2,0.0809,0.0218,41
2026,bb_pct,a33,3,0.0774,0.0221,16
2026,k_pct,u25,0,0.2016,0.0477,14
2026,k_pct,a25,1,0.2283,0.0515,60
2026,k_pct,a30,2,0.2049,0.0515,41
2026,k_pct,a33,3,0.2138,0.0464,16
2026,xwoba_against,u25,0,0.3295,0.0327,14
2026,xwoba_against,a25,1,0.3189,0.0365,60
2026,xwoba_against,a30,2,0.3249,0.0368,41
2026,xwoba_against,a33,3,0.3363,0.0277,16
