feature,season,month,null_rate
away_avg_barrel_pct_std,2021,4,0.0
away_avg_barrel_pct_std,2021,5,0.0
away_avg_barrel_pct_std,2021,6,0.0
away_avg_barrel_pct_std,2021,7,0.0
away_avg_barrel_pct_std,2021,8,0.0
away_avg_barrel_pct_std,2021,9,0.0
away_avg_barrel_pct_std,2021,10,0.0
away_avg_barrel_pct_std,2022,4,0.0
away_avg_barrel_pct_std,2022,5,0.0
away_avg_barrel_pct_std,2022,6,0.0
away_avg_barrel_pct_std,2022,7,0.0
away_avg_barrel_pct_std,2022,8,0.0
away_avg_barrel_pct_std,2022,9,0.0
away_avg_barrel_pct_std,2022,10,0.0
away_avg_barrel_pct_std,2023,3,0.0
away_avg_barrel_pct_std,2023,4,0.0
away_avg_barrel_pct_std,2023,5,0.0
away_avg_barrel_pct_std,2023,6,0.0
away_avg_barrel_pct_std,2023,7,0.0
away_avg_barrel_pct_std,2023,8,0.0
away_avg_barrel_pct_std,2023,9,0.0
away_avg_barrel_pct_std,2023,10,0.0
away_avg_barrel_pct_std,2024,3,0.0
away_avg_barrel_pct_std,2024,4,0.0
away_avg_barrel_pct_std,2024,5,0.0
away_avg_barrel_pct_std,2024,6,0.0
away_avg_barrel_pct_std,2024,7,0.0
away_avg_barrel_pct_std,2024,8,0.0
away_avg_barrel_pct_std,2024,9,0.0
away_avg_barrel_pct_std,2025,3,0.0
away_avg_barrel_pct_std,2025,4,0.0
away_avg_barrel_pct_std,2025,5,0.0
away_avg_barrel_pct_std,2025,6,0.0
away_avg_barrel_pct_std,2025,7,0.0
away_avg_barrel_pct_std,2025,8,0.0
away_avg_barrel_pct_std,2025,9,0.0
away_avg_barrel_pct_std,2026,3,0.0
away_avg_barrel_pct_std,2026,4,0.0
away_avg_barrel_pct_std,2026,5,0.0
away_avg_barrel_pct_std,2026,6,0.1302
away_avg_bb_pct_30d,2021,4,0.0
away_avg_bb_pct_30d,2021,5,0.0
away_avg_bb_pct_30d,2021,6,0.0
away_avg_bb_pct_30d,2021,7,0.0
away_avg_bb_pct_30d,2021,8,0.0
away_avg_bb_pct_30d,2021,9,0.0
away_avg_bb_pct_30d,2021,10,0.0
away_avg_bb_pct_30d,2022,4,0.0
away_avg_bb_pct_30d,2022,5,0.0
away_avg_bb_pct_30d,2022,6,0.0
away_avg_bb_pct_30d,2022,7,0.0
away_avg_bb_pct_30d,2022,8,0.0
away_avg_bb_pct_30d,2022,9,0.0
away_avg_bb_pct_30d,2022,10,0.0
away_avg_bb_pct_30d,2023,3,0.0
away_avg_bb_pct_30d,2023,4,0.0
away_avg_bb_pct_30d,2023,5,0.0
away_avg_bb_pct_30d,2023,6,0.0
away_avg_bb_pct_30d,2023,7,0.0
away_avg_bb_pct_30d,2023,8,0.0
away_avg_bb_pct_30d,2023,9,0.0
away_avg_bb_pct_30d,2023,10,0.0
away_avg_bb_pct_30d,2024,3,0.0
away_avg_bb_pct_30d,2024,4,0.0
away_avg_bb_pct_30d,2024,5,0.0
away_avg_bb_pct_30d,2024,6,0.0
away_avg_bb_pct_30d,2024,7,0.0
away_avg_bb_pct_30d,2024,8,0.0
away_avg_bb_pct_30d,2024,9,0.0
away_avg_bb_pct_30d,2025,3,0.0
