feature,class,reason,null_dense,null_sparse,name_lineup,name_agrees
away_avg_barrel_pct_std,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,False,False
away_avg_bb_pct_30d,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,False,False
away_avg_bb_pct_std,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,False,False
away_avg_bb_pct_vs_lhp,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,True,True
away_avg_eb_bb_pct,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,False,False
away_avg_eb_iso,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,False,False
away_avg_eb_woba,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,False,False
away_avg_eb_woba_sequential,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,True,True
away_avg_hard_hit_pct_std,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,False,False
away_avg_hard_hit_pct_vs_lhp,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,True,True
away_avg_hard_hit_pct_vs_rhp,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,True,True
away_avg_k_pct_std,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,False,False
away_avg_k_pct_vs_lhp,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,True,True
away_avg_k_pct_vs_rhp,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,True,True
away_avg_whiff_rate_30d,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,False,False
away_avg_woba_30d,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,False,False
away_avg_woba_std,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,False,False
away_avg_woba_vs_rhp,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,True,True
away_avg_xwoba_30d,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,False,False
away_avg_xwoba_std,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,False,False
away_avg_xwoba_vs_lhp,B,present-confirmed/absent-unconfirmed (Δnull +1.00),0.0,1.0,True,True
away_bp_bb_pct_14d,A,present pre-lineup (null_sparse 0.00),0.0,0.0,False,True
