relation,tau,book_group,n_games,n_quotes,roi,sharpe,roi_p,roi_fdr_survive,season_sign_consistent,is_control
props_to_team_total,0.75,all,568,4580,0.18342499633686432,0.24467410990202643,2.750568446624807e-09,True,True,False
props_to_team_total,0.75,pinnacle,568,916,0.21864905026489212,0.2799710396880108,1.2575820503528471e-11,True,True,False
props_to_team_total,0.75,soft,568,3664,0.17461898285485736,0.23477754302933843,1.100602558165749e-08,True,True,False
props_to_team_total,0.75,majors,568,2748,0.17519217512104154,0.23565610852114963,9.752614890109217e-09,True,True,False
props_to_team_total,0.85,all,508,3795,0.2130054358654639,0.2778099401249929,1.906238364806483e-10,True,True,False
props_to_team_total,0.85,pinnacle,508,759,0.249349851910713,0.3124460075124303,9.463070656110382e-13,True,True,False
props_to_team_total,0.85,soft,508,3036,0.2039193318541516,0.26806157927687063,7.620160895726494e-10,True,True,False
props_to_team_total,0.85,majors,508,2277,0.20445236303478848,0.2687359745661673,6.934125360712604e-10,True,True,False
props_to_team_total,0.9,all,479,3420,0.24452465916978322,0.3161082611566591,2.2843956243760398e-12,True,True,False
props_to_team_total,0.9,pinnacle,479,684,0.280956120357779,0.34907737503983877,1.0866876442491577e-14,True,True,False
props_to_team_total,0.9,soft,479,2736,0.23541679387278425,0.30670229009539896,9.56540693483498e-12,True,True,False
props_to_team_total,0.9,majors,479,2052,0.2356459227170172,0.3069958221771854,9.153088409436618e-12,True,True,False
props_to_team_total,0.95,all,417,2795,0.2923828818189712,0.3774516994982421,6.401168702191107e-15,True,True,False
props_to_team_total,0.95,pinnacle,417,559,0.32886718148417043,0.40745973869258795,4.3773114648762006e-17,True,True,False
props_to_team_total,0.95,soft,417,2236,0.2832618069026714,0.36842214904867565,2.6686304650715717e-14,True,True,False
props_to_team_total,0.95,majors,417,1677,0.28405430106478025,0.3697824113016709,2.1568180871380596e-14,True,True,False
props_to_team_total,0.975,all,374,2390,0.2940086162971793,0.3712012611013016,3.5191074594154414e-13,True,True,False
props_to_team_total,0.975,pinnacle,374,478,0.3329735563950351,0.4030234269117771,3.2434031509644977e-15,True,True,False
props_to_team_total,0.975,soft,374,1912,0.2842673812727154,0.3617602047705842,1.315840380679233e-12,True,True,False
props_to_team_total,0.975,majors,374,1434,0.28494160971912436,0.3616569884052972,1.3347089818094656e-12,True,True,False
team_total_to_game_total,0.75,all,157,785,-0.07285891344902548,-0.07849069000226254,0.8373157324594164,False,False,False
team_total_to_game_total,0.75,pinnacle,157,157,-0.035177934903289895,-0.036576473519108636,0.6766322202095945,False,False,False
team_total_to_game_total,0.75,soft,157,628,-0.08227915808545938,-0.08916678094880398,0.8680576789375026,False,False,False
