market,name,book_group,line_bucket,tau,n,roi,sharpe,roi_p,mean_edge,roi_fdr_survive,season_sign_consistent
team_totals,team_totals|all|all|tau0.02,all,all,0.02,4750,-0.04332795433933551,-0.07036663893242676,0.9999993817143731,-0.00863202736651793,False,True
team_totals,team_totals|all|all|tau0.03,all,all,0.03,4659,-0.043180626905857174,-0.06546060540639878,0.9999960547910728,-0.010415684071478915,False,True
team_totals,team_totals|all|all|tau0.04,all,all,0.04,4417,-0.04287825354500066,-0.060900784817337246,0.999974115932413,-0.012747963606601789,False,False
team_totals,team_totals|all|all|tau0.06,all,all,0.06,3721,-0.05520781483061671,-0.07133793909958723,0.9999932430575317,-0.019540577046002816,False,True
team_totals,team_totals|all|all|tau0.08,all,all,0.08,2964,-0.04844948936976714,-0.05844725012108946,0.9992687465413377,-0.026841032743263164,False,False
team_totals,team_totals|all|low|tau0.02,all,low,0.02,4749,-0.04308141070449278,-0.06828479147048476,0.9999987350744913,-0.008775506428485607,False,True
team_totals,team_totals|all|low|tau0.03,all,low,0.03,4655,-0.04230805632021297,-0.06287446052017204,0.9999910571298878,-0.01076196648075432,False,True
team_totals,team_totals|all|low|tau0.04,all,low,0.04,4414,-0.04315703569780551,-0.060446276712192167,0.9999703936032263,-0.013222341966193962,False,False
team_totals,team_totals|all|low|tau0.06,all,low,0.06,3721,-0.05462075570707389,-0.07023241100090093,0.9999908291601581,-0.020014268188377385,False,True
team_totals,team_totals|all|low|tau0.08,all,low,0.08,2964,-0.047808988085235614,-0.057583183392732766,0.9991406707645082,-0.027295056239117474,False,False
team_totals,team_totals|all|mid|tau0.02,all,mid,0.02,3358,-0.07477032361438088,-0.08957027338579872,0.9999998951016151,-0.013460544456990502,False,True
team_totals,team_totals|all|mid|tau0.03,all,mid,0.03,2854,-0.07493602801804243,-0.08555790243073433,0.9999975700478386,-0.013593150422870992,False,True
team_totals,team_totals|all|mid|tau0.04,all,mid,0.04,2247,-0.08945242496626322,-0.09536093386592025,0.9999969131214984,-0.010380322764213478,False,False
team_totals,team_totals|all|mid|tau0.06,all,mid,0.06,1361,-0.11255098042271504,-0.09214456004370052,0.9996622967554114,0.012143340275685604,False,False
team_totals,team_totals|all|mid|tau0.08,all,mid,0.08,952,-0.12412511841253926,-0.08619152636504267,0.996085957780738,0.044514827773395965,False,False
team_totals,team_totals|all|high|tau0.02,all,high,0.02,13,-0.3906676326377626,-0.6651942729076833,0.9917663854400427,-0.004452880491860583,False,False
team_totals,team_totals|all|high|tau0.03,all,high,0.03,12,-0.43426079628472847,-0.7347432498128288,0.9945396370965476,-0.003149590287856547,False,False
team_totals,team_totals|all|high|tau0.04,all,high,0.04,12,-0.43426079628472847,-0.7347432498128288,0.9945396370965476,-0.003149590287856547,False,False
team_totals,team_totals|all|high|tau0.06,all,high,0.06,12,-0.43426079628472847,-0.7347432498128288,0.9945396370965476,-0.003149590287856547,False,False
team_totals,team_totals|all|high|tau0.08,all,high,0.08,12,-0.43426079628472847,-0.7347432498128288,0.9945396370965476,-0.003149590287856547,False,False
team_totals,team_totals|pinnacle|all|tau0.02,pinnacle,all,0.02,4325,-0.021515847752285204,-0.02685868861107276,0.9613318001899571,-0.007513669392422431,False,False
team_totals,team_totals|pinnacle|all|tau0.03,pinnacle,all,0.03,3912,-0.019163353803880713,-0.022973938667687026,0.9246307137542221,-0.009082612252944915,False,False
team_totals,team_totals|pinnacle|all|tau0.04,pinnacle,all,0.04,3441,-0.027026783353097834,-0.03157251853195665,0.9679903280477923,-0.010116688619005982,False,False
team_totals,team_totals|pinnacle|all|tau0.06,pinnacle,all,0.06,2503,-0.024676929567278186,-0.028309781855089575,0.9216617357162895,-0.011232046508918242,False,False
team_totals,team_totals|pinnacle|all|tau0.08,pinnacle,all,0.08,1813,-0.009052665355652752,-0.01040700404097754,0.671161737890917,-0.006284978059736595,False,False
team_totals,team_totals|pinnacle|low|tau0.02,pinnacle,low,0.02,4325,-0.021515847752285204,-0.02685868861107276,0.9613318001899571,-0.007513669392422431,False,False
team_totals,team_totals|pinnacle|low|tau0.03,pinnacle,low,0.03,3912,-0.019163353803880713,-0.022973938667687026,0.9246307137542221,-0.009082612252944915,False,False
team_totals,team_totals|pinnacle|low|tau0.04,pinnacle,low,0.04,3441,-0.027026783353097834,-0.03157251853195665,0.9679903280477923,-0.010116688619005982,False,False
team_totals,team_totals|pinnacle|low|tau0.06,pinnacle,low,0.06,2503,-0.024676929567278186,-0.028309781855089575,0.9216617357162895,-0.011232046508918242,False,False
team_totals,team_totals|pinnacle|low|tau0.08,pinnacle,low,0.08,1813,-0.009052665355652752,-0.01040700404097754,0.671161737890917,-0.006284978059736595,False,False
team_totals,team_totals|soft|all|tau0.02,soft,all,0.02,4750,-0.04446138907604289,-0.0727319696157615,0.99999973164937,-0.00869007730742163,False,True
team_totals,team_totals|soft|all|tau0.03,soft,all,0.03,4658,-0.04433944164222152,-0.06763522686048803,0.9999980446553183,-0.0104525269595837,False,True
team_totals,team_totals|soft|all|tau0.04,soft,all,0.04,4413,-0.04394828024242545,-0.06281041977885472,0.9999849376904417,-0.012755582405382273,False,True
team_totals,team_totals|soft|all|tau0.06,soft,all,0.06,3714,-0.0569525317029747,-0.07394583986216977,0.9999967039618699,-0.019520234507047006,False,True
team_totals,team_totals|soft|all|tau0.08,soft,all,0.08,2958,-0.05024741197881625,-0.06076602964684035,0.9995249694682775,-0.026735997525301907,False,False
team_totals,team_totals|soft|low|tau0.02,soft,low,0.02,4749,-0.04425052298265906,-0.07060898660651656,0.9999994302460933,-0.00884232378219283,False,True
team_totals,team_totals|soft|low|tau0.03,soft,low,0.03,4654,-0.043580733859306796,-0.06514209541791785,0.9999955851012251,-0.01081569188354696,False,True
team_totals,team_totals|soft|low|tau0.04,soft,low,0.04,4410,-0.044247265220261206,-0.062344785808435506,0.9999826484803862,-0.013250655744252087,False,True
team_totals,team_totals|soft|low|tau0.06,soft,low,0.06,3714,-0.056355662176273066,-0.07280575060917088,0.9999954383303961,-0.020012442374819576,False,True
team_totals,team_totals|soft|low|tau0.08,soft,low,0.08,2958,-0.04958961668522926,-0.059877420990693014,0.9994361905065642,-0.027208342353832064,False,False
team_totals,team_totals|soft|mid|tau0.02,soft,mid,0.02,3358,-0.07477032361438088,-0.08957027338579872,0.9999998951016151,-0.013460544456990502,False,True
team_totals,team_totals|soft|mid|tau0.03,soft,mid,0.03,2854,-0.07493602801804243,-0.08555790243073433,0.9999975700478386,-0.013593150422870992,False,True
team_totals,team_totals|soft|mid|tau0.04,soft,mid,0.04,2247,-0.08945242496626322,-0.09536093386592025,0.9999969131214984,-0.010380322764213478,False,False
team_totals,team_totals|soft|mid|tau0.06,soft,mid,0.06,1361,-0.11255098042271504,-0.09214456004370052,0.9996622967554114,0.012143340275685604,False,False
team_totals,team_totals|soft|mid|tau0.08,soft,mid,0.08,952,-0.12412511841253926,-0.08619152636504267,0.996085957780738,0.044514827773395965,False,False
team_totals,team_totals|soft|high|tau0.02,soft,high,0.02,13,-0.3906676326377626,-0.6651942729076833,0.9917663854400427,-0.004452880491860583,False,False
team_totals,team_totals|soft|high|tau0.03,soft,high,0.03,12,-0.43426079628472847,-0.7347432498128288,0.9945396370965476,-0.003149590287856547,False,False
team_totals,team_totals|soft|high|tau0.04,soft,high,0.04,12,-0.43426079628472847,-0.7347432498128288,0.9945396370965476,-0.003149590287856547,False,False
team_totals,team_totals|soft|high|tau0.06,soft,high,0.06,12,-0.43426079628472847,-0.7347432498128288,0.9945396370965476,-0.003149590287856547,False,False
team_totals,team_totals|soft|high|tau0.08,soft,high,0.08,12,-0.43426079628472847,-0.7347432498128288,0.9945396370965476,-0.003149590287856547,False,False
team_totals,team_totals|majors|all|tau0.02,majors,all,0.02,4698,-0.04573826216888639,-0.0738154176008142,0.9999997897698267,-0.009131473570765328,False,True
team_totals,team_totals|majors|all|tau0.03,majors,all,0.03,4507,-0.04800194434143969,-0.07318972458918079,0.9999995527520388,-0.010786973671357525,False,True
team_totals,team_totals|majors|all|tau0.04,majors,all,0.04,4166,-0.05364882413199542,-0.07695050949195245,0.9999996595552304,-0.01268412461059281,False,True
team_totals,team_totals|majors|all|tau0.06,majors,all,0.06,3415,-0.060324958356311506,-0.0779977524620205,0.9999974182507883,-0.01949713192581005,False,True
team_totals,team_totals|majors|all|tau0.08,majors,all,0.08,2676,-0.0626662114811504,-0.07474158184494636,0.9999447702314336,-0.025772028905596097,False,True
team_totals,team_totals|majors|low|tau0.02,majors,low,0.02,4695,-0.04439408068672549,-0.0697560484467759,0.9999991221686185,-0.009402470085572573,False,True
team_totals,team_totals|majors|low|tau0.03,majors,low,0.03,4496,-0.04629023283698996,-0.06913827223984269,0.9999982228424059,-0.011393195159701087,False,True
team_totals,team_totals|majors|low|tau0.04,majors,low,0.04,4161,-0.053115360355373516,-0.07516435832267719,0.9999993781267547,-0.013496082889206862,False,True
team_totals,team_totals|majors|low|tau0.06,majors,low,0.06,3415,-0.058519382767821045,-0.07560143334396895,0.9999950190020607,-0.0203857706418509,False,True
team_totals,team_totals|majors|low|tau0.08,majors,low,0.08,2676,-0.0606422409132875,-0.07267690699008073,0.9999149010477744,-0.026663873337280507,False,True
team_totals,team_totals|majors|mid|tau0.02,majors,mid,0.02,3342,-0.07227619686632322,-0.0857963969681718,0.999999647339185,-0.013202650329496768,False,True
team_totals,team_totals|majors|mid|tau0.03,majors,mid,0.03,2838,-0.07148307694161583,-0.0807580566384228,0.999991545023912,-0.013329189933067418,False,True
team_totals,team_totals|majors|mid|tau0.04,majors,mid,0.04,2233,-0.08535514925046976,-0.0896194179054576,0.9999885689754849,-0.009986333515431066,False,False
