pitcher_id,player_name,game_date,line_commence_date,game_year,bookmaker_key,over_price,under_price,pred_mean_k,line,is_integer_line,model_p_over,model_p_under,model_p_push,model_p_over_cond,model_p_under_cond,book_devig_over,book_devig_under,book_hold,devig_valid,edge_over,edge_under,ev_over,ev_under,best_side,best_edge,best_ev,pinnacle_devig_over_same_line,edge_vs_pinnacle,is_pinnacle
665625,Elvis Peguero,2025-08-11,2025-08-11,2025,pinnacle,190.0,-264.0,3.378,1.5,False,0.8611,0.1389,0.0,0.8611,0.1389,0.32224,0.67776,0.0701,True,0.53886,-0.53886,1.49719,-0.80849,over,0.53886,1.49719,0.32224,0.53886,True
665625,Elvis Peguero,2025-08-11,2025-08-11,2025,draftkings,190.0,-255.0,3.378,1.5,False,0.8611,0.1389,0.0,0.8611,0.1389,0.32435,0.67565,0.06314,True,0.53675,-0.53675,1.49719,-0.80663,over,0.53675,1.49719,0.32224,0.53886,False
695418,Brad Lord,2025-04-20,2025-04-21,2025,bovada,115.0,-150.0,7.026,3.5,False,0.9695,0.0305,0.0,0.9695,0.0305,0.43668,0.56332,0.06512,True,0.53282,-0.53282,1.08442,-0.94917,over,0.53282,1.08442,0.43964,0.52986,False
665625,Elvis Peguero,2025-08-11,2025-08-11,2025,bovada,185.0,-250.0,3.378,1.5,False,0.8611,0.1389,0.0,0.8611,0.1389,0.32941,0.67059,0.06516,True,0.53169,-0.53169,1.45414,-0.80554,over,0.53169,1.45414,0.32224,0.53886,False
450203,Charlie Morton,2025-09-28,2025-09-28,2025,bovada,140.0,-185.0,4.155,1.5,False,0.9216,0.0784,0.0,0.9216,0.0784,0.39095,0.60905,0.06579,True,0.53065,-0.53065,1.21184,-0.87922,over,0.53065,1.21184,0.39294,0.52866,False
695418,Brad Lord,2025-04-20,2025-04-21,2025,pinnacle,113.0,-149.0,7.026,3.5,False,0.9695,0.0305,0.0,0.9695,0.0305,0.43964,0.56036,0.06788,True,0.52986,-0.52986,1.06504,-0.94903,over,0.52986,1.06504,0.43964,0.52986,True
450203,Charlie Morton,2025-09-28,2025-09-28,2025,pinnacle,138.0,-185.0,4.155,1.5,False,0.9216,0.0784,0.0,0.9216,0.0784,0.39294,0.60706,0.06929,True,0.52866,-0.52866,1.19341,-0.87922,over,0.52866,1.19341,0.39294,0.52866,True
665625,Elvis Peguero,2025-08-11,2025-08-11,2025,betmgm,180.0,-250.0,3.378,1.5,False,0.8611,0.1389,0.0,0.8611,0.1389,0.33333,0.66667,0.07143,True,0.52777,-0.52777,1.41108,-0.80554,over,0.52777,1.41108,0.32224,0.53886,False
665625,Elvis Peguero,2025-08-11,2025-08-11,2025,betonlineag,180.0,-244.0,3.378,1.5,False,0.8611,0.1389,0.0,0.8611,0.1389,0.33489,0.66511,0.06645,True,0.52621,-0.52621,1.41108,-0.80417,over,0.52621,1.41108,0.32224,0.53886,False
665625,Elvis Peguero,2025-08-11,2025-08-11,2025,mybookieag,166.0,-238.0,3.378,1.5,False,0.8611,0.1389,0.0,0.8611,0.1389,0.34807,0.65193,0.08008,True,0.51303,-0.51303,1.29053,-0.80274,over,0.51303,1.29053,0.32224,0.53886,False
656876,Drew Rasmussen,2025-07-22,2025-07-22,2025,draftkings,-175.0,135.0,3.087,5.5,False,0.0989,0.9011,0.0,0.0989,0.9011,0.59927,0.40073,0.0619,True,-0.50037,0.50037,-0.84459,1.11758,under,0.50037,1.11758,,,False
695418,Brad Lord,2025-04-20,2025-04-21,2025,betonlineag,-101.0,-128.0,7.026,3.5,False,0.9695,0.0305,0.0,0.9695,0.0305,0.47231,0.52769,0.06389,True,0.49719,-0.49719,0.9294,-0.94567,over,0.49719,0.9294,0.43964,0.52986,False
695418,Brad Lord,2025-04-20,2025-04-21,2025,fanatics,-105.0,-125.0,7.026,3.5,False,0.9695,0.0305,0.0,0.9695,0.0305,0.4797,0.5203,0.06775,True,0.4898,-0.4898,0.89283,-0.9451,over,0.4898,0.89283,0.43964,0.52986,False
450203,Charlie Morton,2025-09-28,2025-09-28,2025,betmgm,110.0,-145.0,4.155,1.5,False,0.9216,0.0784,0.0,0.9216,0.0784,0.44586,0.55414,0.06803,True,0.47574,-0.47574,0.93536,-0.86753,over,0.47574,0.93536,0.39294,0.52866,False
695418,Brad Lord,2025-04-20,2025-04-21,2025,betmgm,-115.0,-115.0,7.026,3.5,False,0.9695,0.0305,0.0,0.9695,0.0305,0.5,0.5,0.06977,True,0.4695,-0.4695,0.81254,-0.94298,over,0.4695,0.81254,0.43964,0.52986,False
695418,Brad Lord,2025-04-20,2025-04-21,2025,draftkings,-115.0,-115.0,7.026,3.5,False,0.9695,0.0305,0.0,0.9695,0.0305,0.5,0.5,0.06977,True,0.4695,-0.4695,0.81254,-0.94298,over,0.4695,0.81254,0.43964,0.52986,False
808967,Yoshinobu Yamamoto,2024-03-30,2024-03-31,2024,pinnacle,-222.0,145.0,2.857,4.5,False,0.1643,0.8357,0.0,0.1643,0.8357,0.62813,0.37187,0.0976,True,-0.46383,0.46383,-0.76169,1.04746,under,0.46383,1.04746,0.62813,-0.46383,True
808967,Yoshinobu Yamamoto,2024-03-30,2024-03-31,2024,bovada,-180.0,135.0,2.857,4.5,False,0.1643,0.8357,0.0,0.1643,0.8357,0.60171,0.39829,0.06839,True,-0.43741,0.43741,-0.74442,0.9639,under,0.43741,0.9639,0.62813,-0.46383,False
808967,Yoshinobu Yamamoto,2024-03-30,2024-03-31,2024,draftkings,-170.0,135.0,2.857,4.5,False,0.1643,0.8357,0.0,0.1643,0.8357,0.59671,0.40329,0.05516,True,-0.43241,0.43241,-0.73905,0.9639,under,0.43241,0.9639,0.62813,-0.46383,False
