config,book_group,line_bucket,tau,anchor,n_bets,roi_net_vig,sharpe,roi_2023,n_2023,roi_2024,n_2024,roi_2025,n_2025,roi_2026,n_2026
barstool|mid_5p5|tau0.08|book,barstool,mid_5p5,0.08,book,115,0.22851,0.16324,0.22851,115,,0,,0,,0
superbook|high_ge6p5|tau0.1|pinnacle,superbook,high_ge6p5,0.1,pinnacle,74,0.11005,0.12488,,0,0.11005,74,,0,,0
barstool|mid_5p5|tau0.04|book,barstool,mid_5p5,0.04,book,214,0.09296,0.06778,0.09296,214,,0,,0,,0
barstool|mid_5p5|tau0.1|book,barstool,mid_5p5,0.1,book,78,0.09,0.06908,0.09,78,,0,,0,,0
pointsbetus|low_le4p5|tau0.1|book,pointsbetus,low_le4p5,0.1,book,330,0.07712,0.08159,0.10357,253,-0.0098,77,,0,,0
barstool|low_le4p5|tau0.1|book,barstool,low_le4p5,0.1,book,208,0.06954,0.05858,0.06954,208,,0,,0,,0
barstool|mid_5p5|tau0.02|book,barstool,mid_5p5,0.02,book,257,0.06846,0.05189,0.06846,257,,0,,0,,0
superbook|high_ge6p5|tau0.1|book,superbook,high_ge6p5,0.1,book,86,0.06539,0.07478,,0,0.06539,86,,0,,0
pointsbetus|low_le4p5|tau0.1|pinnacle,pointsbetus,low_le4p5,0.1,pinnacle,293,0.06525,0.06903,0.0952,222,-0.0284,71,,0,,0
barstool|all|tau0.1|book,barstool,all,0.1,book,433,0.06221,0.0574,0.06221,433,,0,,0,,0
superbook|high_ge6p5|tau0.08|pinnacle,superbook,high_ge6p5,0.08,pinnacle,90,0.06062,0.06891,,0,0.06062,90,,0,,0
betonlineag|low_le4p5|tau0.1|book,betonlineag,low_le4p5,0.1,book,1092,0.05629,0.05694,0.09084,166,0.01468,370,0.07605,439,0.0647,117
betrivers|high_ge6p5|tau0.1|book,betrivers,high_ge6p5,0.1,book,620,0.05313,0.06214,0.0077,165,0.12862,227,-0.0132,159,0.06626,69
unibet_us|high_ge6p5|tau0.1|book,unibet_us,high_ge6p5,0.1,book,268,0.04875,0.05897,0.0056,164,0.11678,104,,0,,0
superbook|high_ge6p5|tau0.06|pinnacle,superbook,high_ge6p5,0.06,pinnacle,103,0.0487,0.05506,,0,0.0487,103,,0,,0
pointsbetus|high_ge6p5|tau0.1|book,pointsbetus,high_ge6p5,0.1,book,207,0.04586,0.0509,-0.00016,151,0.16996,56,,0,,0
pointsbetus|all|tau0.1|book,pointsbetus,all,0.1,book,750,0.04542,0.04854,0.06034,543,0.00629,207,,0,,0
betrivers|low_le4p5|tau0.1|book,betrivers,low_le4p5,0.1,book,899,0.04449,0.03723,0.04352,195,-0.03568,233,0.0806,344,0.09524,127
bovada|mid_5p5|tau0.1|book,bovada,mid_5p5,0.1,book,488,0.04371,0.04466,-0.00756,60,0.04179,195,0.18315,150,-0.16668,83
bovada|mid_5p5|tau0.1|pinnacle,bovada,mid_5p5,0.1,pinnacle,456,0.04253,0.04338,-0.05866,53,0.06811,193,0.16757,134,-0.17231,76
barstool|all|tau0.08|book,barstool,all,0.08,book,586,0.03937,0.036,0.03937,586,,0,,0,,0
pointsbetus|low_le4p5|tau0.08|book,pointsbetus,low_le4p5,0.08,book,452,0.03869,0.04085,0.04626,345,0.01428,107,,0,,0
mybookieag|high_ge6p5|tau0.1|book,mybookieag,high_ge6p5,0.1,book,412,0.03751,0.04157,-0.03036,126,0.06203,171,0.08067,81,0.06296,34
barstool|high_ge6p5|tau0.1|book,barstool,high_ge6p5,0.1,book,147,0.0371,0.04864,0.0371,147,,0,,0,,0
betmgm|mid_5p5|tau0.1|book,betmgm,mid_5p5,0.1,book,586,0.037,0.03858,0.10117,151,-0.0283,208,0.12113,143,-0.05991,84
betrivers|mid_5p5|tau0.1|pinnacle,betrivers,mid_5p5,0.1,pinnacle,115,0.03629,0.0379,-0.04703,38,-0.15741,19,0.23245,19,0.11627,39
superbook|high_ge6p5|tau0.08|book,superbook,high_ge6p5,0.08,book,99,0.03544,0.04009,,0,0.03544,99,,0,,0
draftkings|low_le4p5|tau0.1|book,draftkings,low_le4p5,0.1,book,1228,0.03424,0.03515,0.02957,257,-0.02952,367,0.06765,451,0.0965,153
betrivers|all|tau0.1|book,betrivers,all,0.1,book,1905,0.03415,0.03035,0.026,444,0.01335,609,0.04359,601,0.07642,251
fanduel|low_le4p5|tau0.08|book,fanduel,low_le4p5,0.08,book,1586,0.03395,0.03465,0.03879,297,-0.00127,481,0.04755,581,0.06745,227
fanduel|high_ge6p5|tau0.08|book,fanduel,high_ge6p5,0.08,book,719,0.03223,0.03502,-0.01116,204,0.07327,235,-0.01415,194,0.12759,86
soft|low_le4p5|tau0.1|book,soft,low_le4p5,0.1,book,9523,0.03148,0.03129,0.0671,2270,-0.0135,3000,0.03912,3223,0.06007,1030
barstool|mid_5p5|tau0.06|book,barstool,mid_5p5,0.06,book,166,0.03102,0.02375,0.03102,166,,0,,0,,0
betonlineag|all|tau0.1|book,betonlineag,all,0.1,book,2134,0.03063,0.0317,0.01401,393,0.02172,761,0.06569,746,-0.02425,234
draftkings|high_ge6p5|tau0.1|book,draftkings,high_ge6p5,0.1,book,594,0.03032,0.03289,-0.03607,156,0.08587,201,-0.00075,160,0.08441,77
unibet_us|high_ge6p5|tau0.08|book,unibet_us,high_ge6p5,0.08,book,352,0.02965,0.03626,0.00206,218,0.07453,134,,0,,0
mybookieag|high_ge6p5|tau0.1|pinnacle,mybookieag,high_ge6p5,0.1,pinnacle,352,0.02894,0.03188,-0.08725,111,0.07761,146,0.06495,65,0.14399,30
williamhill_us|low_le4p5|tau0.1|book,williamhill_us,low_le4p5,0.1,book,698,0.02882,0.03039,0.06075,260,-0.03876,361,0.23789,77,,0
all|low_le4p5|tau0.1|book,all,low_le4p5,0.1,book,10790,0.02874,0.02865,0.06714,2530,-0.01537,3385,0.03672,3687,0.04789,1188
fanduel|high_ge6p5|tau0.1|book,fanduel,high_ge6p5,0.1,book,591,0.02855,0.03095,0.01353,177,0.0554,190,0.00104,157,0.05661,67
fanatics|mid_5p5|tau0.1|book,fanatics,mid_5p5,0.1,book,152,0.02854,0.02956,,0,,0,0.04197,113,-0.01035,39
majors|low_le4p5|tau0.1|book,majors,low_le4p5,0.1,book,4248,0.02826,0.02918,0.04831,968,-0.02011,1442,0.06211,1384,0.0359,454
soft|high_ge6p5|tau0.1|book,soft,high_ge6p5,0.1,book,5036,0.02808,0.03119,-0.02459,1593,0.0818,1789,0.00212,1183,0.06739,471
bovada|high_ge6p5|tau0.1|book,bovada,high_ge6p5,0.1,book,479,0.02788,0.02982,-0.09728,74,0.03669,186,0.04598,151,0.0998,68
