Team,C,1B,2B,3B,SS,MI,CI,OF,DH,P,
Antonio Picante,C Jensen,N Kurtz,O Peraza,J Caminero,T WallsW Aloy(M)A Nimmala(M),J Altuve,Z McKinstry,G SpringerT GrishamS KwanV RoblesL TaverasK Watson(R)A Hays(I),T TrammellP GoldschmidtA Rutschman(R)S Langeliers(R)M Garcia(I),S OkertH HarrisE BazardoM GoreS BazL GilbertR GarciaM StrahmT WellsE Hancock(R)M Leiter(R)J Leiter(I)C Estevez(I)L Severino(I)N Schultz(M)
Guelah Papyrus,C RaleighJ Briceno(M),R Devers,J Polanco,C Durbin,J.P. CrawfordK Culpepper(M)B Carlson(M),A Williams,J Bell,E CarterL AcunaC MullinsE PereiraJ OutmanB Buxton(R)W Perez(I)E Rodriguez(M)N Rada(M)W Jenkins(M),J PedersonR Jeffers,R ZeferjahnF CruzT AdamsA KittredgeA.J. BlubaughK YatesB HudsonC MizeA MunozT Yesavage(R)K Bradish(R)S Kolek(R)C Quantrill(R)J.T. Ginn(I)B Hopkins(M)J Arnold(M)
KCStat,B Rice,S Torkelson,J JacksonC Moore(R)S Antonacci(M),S Keys,B WittD Guzman(M),C Cauley,V GrissomB Alexander(I),I CollinsJ CaglianoneY PinangoV Mesa Jr.A Judge(I)J Clase(I)G Gonzalez(M)C.J. Kayfus(M)S Jones(M)A Overn(M),M MuncyC ThomasC Freeman(I),C DovalS MilesT RogersA MorrisY GomezN CameronK KellyS CruzB KingC Javier(R)W Urena(R)T Rogers(R)G Jump(R)J Hicks(R)B Joyce(I)
Less Than Jake,Y Diaz,W Contreras,C Keith,R Lewis,K McGonigleC Williams(M),J Gonzalez,C EmersonM Mayer(I),H BolteJ AdellM TroutJ RodriguezR GrichukJ Meyers(R)D Clarke(I)M Clark(M),J SanchezC YoungL Wade Jr.(R)S Basallo(I),W WarrenE AlvaradoS GrayD AndersonJ SorianoB BakerS BurkeP FairbanksJ CantilloL McCullers(R)D Sandlin(R)E Rodriguez(R)J Sterner(I)T Gibson(M)
New York Other Ones,S PerezC Ingle(M),P Alonso,B Lowe,M Vargas,J Wilson,E Duran,B Lee,B NimmoR PalaciosR ArozarenaA RodenY AlvarezL Raley(R),C Encarnacion-StrandN LopezD Jansen(I),K GausmanJ deGromH GaddisB AbreuS NewcombT GuerreroI SeymourC HoldermanA ChapmanM Wacha(R)G Jax(R)G Kirby(R)T Skubal(R)B Hurter(I)K Stephen(M)
PACER’S,E Diaz,N Schanuel,A Gimenez,J Ramirez,Z NetoB Rainer(M)A Genao(M)C Bonemer(M),L Keaschall,J Aranda,C RafaelaT WardJ McNeilT SoderstromA MartinezT O'Neill(R)B Matthews(I),Y DiazH Yu LeeJ Soler(R)P Bailey(R)G Valera(R)V Pasquantino(I),T MeltonR DobnakC PrielippS LugoR DetmersR BlancoD RasmussenS CecconiP SandovalB Woo(R)J Boyle(I)
Pesky ,A Wells,R GonzalezX Isaac(M),J Holliday,K Okamoto,A MonasterioF Arias(M)S Walcott(M),E Clement,A Seigler,L ButlerA MartinK ClemensJ BaezJ DeLucaJ Lowe(R)P Halpin(R)R Anthony(I)L Montes(M)T Gillen(M),B ValenzuelaM YoshidaL O'Hoppe(R)J Jones(R)T Story(I),J HoffmanL VarlandP TolleG WhitlockK JansenK MonteroT ImaiJ BennettT BibeeD Kremer(R)C Bassitt(I)M Abel(I)J Flaherty(I)G Klassen(M)K Witherspoon(M)
phantoms,B Naylor,K Manzardo,Z Gelof,J WestburgT White(M),M SchuemannL De Vries(M)D Kilby(M)J Colome(M),L Rivas,L Sosa,M StrawG StantonN LoftinJ DominguezW LangfordA Gomez(M)V Honeycutt(M)N George(M),D HillK CarpenterT Casas(I),E UcetaG CleavingerJ VerlanderG WilliamsP BlackburnC SulserG ColeA BandaT RogersE Fedde(R)B Young(R)B Falter(R)N Martinez(R)J Jobe(R)R Tiedemann(M)
Red Paps,C NarvaezE Tait(M)B Mitchell(M),J NaylorR Velazquez(M),B Rocchio,J Jung,G Arias,R KreidlerJ H. Smith(R),D WaltonY Moncada(I),D VarshoJ DuranW AbreuM VierlingL RobertJ Fraley(I)J Chourio(M),J HeimC VazquezI Kiner-Falefa(R)R Mountcastle(I),R YarbroughK RockerR WeathersD BednarB OberD Lynch IVZ MatthewsB SuterS DominguezN Eovaldi(R)E Teodo(R)K Bubic(R)J Leasure(I)C Rodon(I)D Lesko(M)R Johnson(M)
Sea Monkeys,A KirkI Irish(M),C Walker,G TorresM Arroyo(M),J Chisholm Jr.,N AllenJ Kuroda-Grauer(I)X Neyens(M)F Celesten(M),J Foscue,B Williamson,B MontgomeryC CortesW MecklerT PetersT LarnachE Bradfield(R)D Fry(R)K Isbel(I)J Farmelo(M),V CaratiniA RosarioC Bellinger(R),R SuarezM FriedB MillerF AlemanA LangeF ValdezJ HaderJ RyanG SpeierJ Perkins(R)R Helsley(I)J Oviedo(I)S Arrighetti(I)K Anderson(M)R Sloan(M)
