Batters
,,,Schedule,,Rankings,,Trends,,Contracts,,Stats,,,,,
,Pos,Players, 8/3, 8/4- 8/11,Proj,Actual,Rost,Start,salary,contract,BA,R,HR,RBI,SB,
,C,Dillon Dingler C | DET ,No Game,"Home: 1 (CLE)
Away: 6 (@SEA,@SF)",125,14,99%,92%,9, 4/1y,0.268,56,23,72,0
,1B,Jake Burger 1B | TEX ,"SF,  8:05pm ETvs L. Webb","Home: 5 (SF,BAL)
Away: 2 (@LAA)",141,50,47%,32%,9,,0.235,45,19,66,2
,2B,"Chase Meidroth 2B,SS | CHW ",No Game,"Home: 4 (CLE,CIN)
Away: 3 (@BOS)",170,72,37%,25%,15,,0.270,62,9,40,2
,3B,"Isaac Paredes 1B,3B | HOU ","TOR,  8:10pm ETvs S. Bieber","Home: 2 (TOR)
Away: 5 (@SD,@SF)",133,61,87%,71%,22,,0.258,44,15,60,0
,SS,Gunnar Henderson SS | BAL ,No Game,"Home: 3 (LAA)
Away: 5 (@TEX,@MIN)",7,51,99%,90%,10,,0.220,63,18,47,8
,MI,Travis Bazzana 2B | CLE ,No Game,"Home: 3 (NYM)
Away: 4 (@CHW,@DET)",N/A,90,79%,57%,1,,0.243,37,9,34,15
,CI,Munetaka Murakami 1B | CHW ,No Game,"Home: 4 (CLE,CIN)
Away: 3 (@BOS)",99,26,99%,91%,26,,0.244,59,24,51,1
,OF,Andrew Benintendi OF | CHW ,No Game,"Home: 4 (CLE,CIN)
Away: 3 (@BOS)",180,89,31%,22%,9,,0.246,42,11,56,1
,OF,Chase DeLauter OF | CLE ,No Game,"Home: 3 (NYM)
Away: 4 (@CHW,@DET)",108,55,91%,77%,1,,0.276,40,12,52,6
,OF,Alejandro Osuna OF | TEX ,"SF,  8:05pm ETvs L. Webb","Home: 5 (SF,BAL)
Away: 2 (@LAA)",N/A,225,1%,0%,5,,0.258,24,1,24,5
,OF,Chandler Simpson OF | TB ,"@COL,  8:40pm ETvs M. Lorenzen","Home: 0 
Away: 7 (@COL,@SEA,@ATH)",88,56,71%,54%,4, 3/2y,0.290,45,0,20,27
,OF,"Ryan Vilade 1B,OF | TB ","@COL,  8:40pm ETvs M. Lorenzen","Home: 0 
Away: 7 (@COL,@SEA,@ATH)",356,164,2%,1%,5,,0.252,19,9,35,3
,DH,Dominic Canzone OF | SEA ,No Game,"Home: 6 (DET,TB)
Away: 1 (@NYY)",202,69,73%,57%,8,,0.258,39,18,49,1
,DH,Nathan Lukes OF | TOR ,"@HOU,  8:10pm ETvs C. Javier","Home: 2 (BOS)
Away: 6 (@HOU,@CHC,@PHI)",252,215,6%,3%,5,,0.277,28,5,18,0
Reserves
, OF,Lane Thomas OF | ATL ,No Game,"Home: 5 (MIA,NYM)
Away: 3 (@NYY)",255,N/A,17%,10%,3,NL,0.232,31,10,37,7
, OF,"Tyler Tolbert SS,OF | KC ",No Game,"Home: 6 (MIN,CHC)
Away: 2 (@LAD)",319,166,8%,5%,5,,0.342,22,3,6,15
, DH,Dylan Beavers OF | BAL ,No Game,"Home: 3 (LAA)
Away: 5 (@TEX,@MIN)",147,250,15%,5%,10,,0.247,22,2,18,5
Injured
, OF,Parker Meadows OF | DET ,No Game,"Home: 1 (CLE)
Away: 6 (@SEA,@SF)",205,479,3%,0%,7, 3/1y,0.250,3,0,2,3
, DH,"Brendan Donovan 2B,3B | SEA ",No Game,"Home: 6 (DET,TB)
Away: 1 (@NYY)",164,359,71%,7%,14,,0.274,9,3,8,1
Minors
Pitchers
,,,Schedule,,Rankings,,Trends,,Contracts,,Stats,,,,,
,Pos,Players, 8/3, 8/4- 8/11,Proj,Actual,Rost,Start,salary,contract,ERA,WHIP,W,K,S,
