season,model,seasons_used,in_sample,n_obs,sigma,home_field,converged,tau_conference,tau_team,beta_returning_ppa_pct_z,tau_conf_off,tau_conf_def,tau_team_off,tau_team_def,beta_base,beta_off__returning_ppa_pct_z,beta_def__returning_ppa_pct_z,beta_prior_strength_z,beta_prior_strength_missing,beta_team_talent_z,beta_team_talent_missing,beta_roster_continuity_pct_z,beta_roster_continuity_pct_missing,beta_hc_change_from_prev_z,beta_hc_change_from_prev_missing,beta_is_first_year_at_school_z,beta_hc_recent_sp_overall_z,beta_hc_recent_sp_overall_missing,beta_off__prior_strength_z,beta_off__prior_strength_missing,beta_off__team_talent_z,beta_off__team_talent_missing,beta_off__roster_continuity_pct_z,beta_off__roster_continuity_pct_missing,beta_off__hc_change_from_prev_z,beta_off__hc_change_from_prev_missing,beta_off__is_first_year_at_school_z,beta_off__hc_recent_sp_overall_z,beta_off__hc_recent_sp_overall_missing,beta_def__prior_strength_z,beta_def__prior_strength_missing,beta_def__team_talent_z,beta_def__team_talent_missing,beta_def__roster_continuity_pct_z,beta_def__roster_continuity_pct_missing,beta_def__hc_change_from_prev_z,beta_def__hc_change_from_prev_missing,beta_def__is_first_year_at_school_z,beta_def__hc_recent_sp_overall_z,beta_def__hc_recent_sp_overall_missing,beta_portal_net_stars_z,beta_portal_net_stars_missing,beta_off__portal_net_stars_z,beta_off__portal_net_stars_missing,beta_def__portal_net_stars_z,beta_def__portal_net_stars_missing
2014,margin,2014,True,759,10.080681083598941,2.271177936886799,True,9.810102449858817,9.415157559476253,1.3105104838656163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,points,2014,True,1518,7.339292147759146,2.356429470084253,True,,,,4.747693148055379,4.722591529653947,6.808417817716321,5.352586552772503,28.594954175913408,0.8265273405777845,0.48164431329870416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,margin,2014,False,759,10.080681083598941,2.271177936886799,True,9.810102449858817,9.415157559476253,1.3105104838656163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,points,2014,False,1518,7.339292147759146,2.356429470084253,True,,,,4.747693148055379,4.722591529653947,6.808417817716321,5.352586552772503,28.594954175913408,0.8265273405777845,0.48164431329870416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,margin,"2014,2015",False,1524,9.560731797268927,2.123482798351302,True,6.964763192348524,8.417986732822692,2.1649606611320853,,,,,,,,7.0699704121500115,-7.802347524424082,5.220843500408423,-7.802347524423893,0.012951102493151104,-7.802347524423891,-0.7252175373443541,-7.802347524423327,-0.7252175373442123,0.5449564128103458,2.7598929501268454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,points,"2014,2015",False,3048,6.962655715618252,2.190653303394177,True,,,,3.1384061983429903,3.155017529487704,6.195611214582673,5.153761822931951,28.31057483916345,2.016807596600036,0.11812633324128136,,,,,,,,,,,,2.702627349891539,-4.33040959361779,2.478426735882428,-4.330409593623757,0.1087936463837276,-4.330409593601735,-0.7237254199927949,-4.330409593601733,-0.7237254199910752,1.3780187985228818,3.274540397917181,4.088780058247036,-3.5192634649659604,2.539409981997974,-3.5192634649731867,-0.05034184817643065,-3.51926346500275,-0.04013766786913616,-3.5192634650027483,-0.04013766786903738,-0.6452120941766494,-0.2690938798864556,,,,,,
2017,margin,"2014,2015,2016",False,2283,9.254582961901255,2.2736775346467364,True,5.044111931635005,7.896208822884472,1.951957992265843,,,,,,,,7.08022768476199,-6.719350393244394,4.138584499379283,-6.719350393244713,-0.07411596553027255,-6.719350393244703,-0.38489534044484913,-6.719350393244696,-0.3848953404464156,0.937304278753426,-1.6862770625427732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,points,"2014,2015,2016",False,4566,6.693734340317314,2.3420297563631793,True,,,,1.9697567924111437,1.96536555492042,5.741263861322009,5.161036713015967,28.525783723181085,1.6437116155487626,0.29751302230768883,,,,,,,,,,,,3.791434020525567,-3.760113397811918,1.4060980750395333,-3.7601133977786367,-0.4479223251736556,-3.760113397754382,-0.49028283875132317,-3.7601133977543815,-0.49028283875385065,1.193240064199121,0.45230144477203443,3.0837553944142764,-3.1231829244866374,2.5937747058946625,-3.1231829245282747,0.4499599820858683,-3.123182924483378,0.1057799625143917,-3.123182924483378,0.10577996251536619,-0.07751008598538142,-2.1527044851498323,,,,,,
2018,margin,"2014,2015,2016,2017",False,3059,8.597203392717734,2.5445712534425167,True,3.8542721815616754,7.7384598754615235,2.340160646839277,,,,,,,,6.634134234930388,-4.212589563806494,4.049334389988738,-4.212589563807048,-0.23693399857876113,-4.212589563807045,-0.31781971230956124,-4.2125895638070565,-0.31781971231242523,1.3252263636349229,-2.1481780133823154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,points,"2014,2015,2016,2017",False,6118,6.325789237046835,2.599619495123396,False,,,,1.3853611659568361,1.4314565341708254,5.5138977937393,5.026183440422325,28.154953215076162,1.687784624521594,0.6378862654466286,,,,,,,,,,,,3.651433686625314,-2.4646637332151022,1.9013258207548451,-2.464663733212124,-0.7313702206736407,-2.4646637331982926,-0.41254992664282164,-2.464663733195726,-0.41254992664105816,0.6219245389472505,0.4565274310994665,2.9316517852179786,-1.7255620760732473,2.0800931818373374,-1.7255620760517254,0.5442368987453061,-1.7255620760342592,0.14086257279253853,-1.7255620760348416,0.1408625727937425,0.768269697472499,-2.848148245762612,,,,,,
