season,position,n_rows,n_players,n_played,n_inactive,n_bye,n_dressed_no_stat,n_zero,mean_points,median_points,zero_share,played_share
2016,QB,1482,114,607,0,90,785,898,5.664,0.0,0.6059,0.4096
2016,RB,2438,227,1658,0,149,631,1074,4.866,0.9,0.4405,0.6801
2016,TE,1858,169,1242,0,105,511,1005,3.41,0.0,0.5409,0.6685
2016,WR,3308,337,2420,0,205,683,1418,5.502,2.05,0.4287,0.7316
2017,QB,1388,94,600,0,76,712,811,5.724,0.0,0.5843,0.4323
2017,RB,2380,181,1712,0,132,536,978,5.096,1.6,0.4109,0.7193
2017,TE,1786,135,1370,0,97,319,896,3.355,0.0,0.5017,0.7671
2017,WR,3131,238,2415,0,170,546,1316,5.144,2.0,0.4203,0.7713
2018,QB,1354,94,627,0,79,648,752,6.516,0.0,0.5554,0.4631
2018,RB,2241,174,1624,0,129,488,890,5.564,1.6,0.3971,0.7247
2018,TE,1803,136,1391,0,106,306,921,3.399,0.0,0.5108,0.7715
2018,WR,3131,250,2393,0,189,549,1298,5.783,2.2,0.4146,0.7643
2019,QB,1332,94,612,168,80,472,734,6.505,0.0,0.5511,0.4595
2019,RB,2295,172,1654,209,135,297,952,5.339,1.4,0.4148,0.7207
2019,TE,1794,142,1346,191,103,154,890,3.49,0.9,0.4961,0.7503
2019,WR,3214,246,2430,355,193,236,1408,5.435,1.8,0.4381,0.7561
2020,QB,1447,108,647,298,96,406,819,6.551,0.0,0.566,0.4471
2020,RB,2414,187,1699,318,171,226,1019,5.032,1.4,0.4221,0.7038
2020,TE,1896,145,1428,186,133,149,1001,3.398,0.0,0.528,0.7532
2020,WR,3275,258,2545,370,227,133,1360,5.781,2.2,0.4153,0.7771
2021,QB,1482,108,681,287,87,427,820,6.214,0.0,0.5533,0.4595
2021,RB,2389,188,1737,280,137,235,950,5.317,1.6,0.3977,0.7271
2021,TE,1964,156,1511,181,120,152,1015,3.366,0.0,0.5168,0.7693
2021,WR,3411,275,2727,338,203,143,1422,5.51,2.1,0.4169,0.7995
2022,QB,1449,100,647,257,90,455,819,6.042,0.0,0.5652,0.4465
2022,RB,2396,177,1730,268,159,239,966,5.106,1.4000000000000001,0.4032,0.722
2022,TE,2034,138,1490,210,131,203,1060,3.176,0.0,0.5211,0.7325
2022,WR,3407,264,2573,419,220,195,1481,5.232,1.8,0.4347,0.7552
2023,QB,1475,104,697,281,82,415,806,5.991,0.0,0.5464,0.4725
2023,RB,2241,166,1664,258,133,186,862,5.228,1.8,0.3846,0.7425
2023,TE,1989,145,1561,207,113,108,1048,3.208,0.0,0.5269,0.7848
2023,WR,3421,251,2766,347,197,111,1397,5.333,2.0,0.4084,0.8085
2024,QB,1445,98,681,263,84,417,789,6.329,0.0,0.546,0.4713
2024,RB,2232,167,1683,256,130,163,845,5.387,1.7000000000000002,0.3786,0.754
2024,TE,2050,145,1612,199,121,118,1089,3.253,0.0,0.5312,0.7863
2024,WR,3381,260,2708,351,196,126,1439,5.387,1.9,0.4256,0.8009
2025,QB,1455,104,687,259,83,426,795,6.124,0.0,0.5464,0.4722
2025,RB,2277,172,1759,277,133,108,893,5.309,1.6,0.3922,0.7725
2025,TE,2063,149,1656,225,122,60,1040,3.488,0.0,0.5041,0.8027
2025,WR,3426,257,2765,413,195,53,1503,4.897,1.7000000000000002,0.4387,0.8071
