season,source_name,n_rows,n_present,coverage
2022,espn,46136,29914,0.6484
2022,sportradar,46136,32527,0.705
2022,yahoo,46136,26254,0.5691
2022,rotowire,46136,32527,0.705
2022,pff,46136,28350,0.6145
2022,pfr,46136,21545,0.467
2022,fantasy_data,46136,24679,0.5349
2022,sleeper,46136,32527,0.705
2022,esb,46136,46046,0.998
2022,smart,46136,46013,0.9973
2022,gsis_it,46136,46136,1.0
2023,espn,45650,25975,0.569
2023,sportradar,45650,33224,0.7278
2023,yahoo,45650,31627,0.6928
2023,rotowire,45650,33229,0.7279
2023,pff,45650,22509,0.4931
2023,pfr,45650,29194,0.6395
2023,fantasy_data,45650,19205,0.4207
2023,sleeper,45650,33224,0.7278
2023,esb,45650,45630,0.9996
2023,smart,45650,45619,0.9993
2023,gsis_it,45650,45650,1.0
2024,espn,46572,32641,0.7009
2024,sportradar,46572,32678,0.7017
2024,yahoo,46572,28991,0.6225
2024,rotowire,46572,32678,0.7017
2024,pff,46572,18244,0.3917
2024,pfr,46572,28499,0.6119
2024,fantasy_data,46572,15512,0.3331
2024,sleeper,46572,32678,0.7017
2024,esb,46572,46535,0.9992
2024,smart,46572,46527,0.999
2024,gsis_it,46572,46572,1.0
2025,espn,46831,35291,0.7536
2025,sportradar,46831,34161,0.7295
2025,yahoo,46831,24846,0.5305
2025,rotowire,46831,35292,0.7536
2025,pff,46831,35291,0.7536
2025,pfr,46831,35113,0.7498
2025,fantasy_data,46831,33985,0.7257
2025,sleeper,46831,34161,0.7295
2025,esb,46831,46831,1.0
2025,smart,46831,46831,1.0
2025,gsis_it,46831,46831,1.0
